Team Name,Case Name,Case ID,Query Text,Doc ID,Title,Rating,overview,release_date
,Movies Solr2,3026,will smith,8961,Bad Boys II,3,"Martin Lawrence and Will Smith reunite as out-of-control trash-talking buddy cops Marcus Burnett and Mike Lowrey of the Miami Narcotics Task Force. Bullets fly, cars crash, and laughs explode as they pursue a whacked-out drug lord from the streets of Miami to the barrios of Cuba. But the real fireworks result when Lawrence discovers that playboy Smith is secretly romancing his sexy sister Syd.",2003-07-18T00:00:00Z
,Movies Solr2,3026,will smith,41154,Men in Black 3,3,"Agents J (Will Smith) and K (Tommy Lee Jones) are back...in time. J has seen some inexplicable things in his 15 years with the Men in Black, but nothing, not even aliens, perplexes him as much as his wry, reticent partner. But when K's life and the fate of the planet are put at stake, Agent J will have to travel back in time to put things right. J discovers that there are secrets to the universe that K never told him - secrets that will reveal themselves as he teams up with the young Agent K (Josh Brolin) to save his partner, the agency, and the future of humankind.",2012-05-25T00:00:00Z
,Movies Solr2,3026,will smith,9541,Jersey Girl,1,"Ollie Trinke is a young, suave music publicist who seems to have it all, with a new wife and a baby on the way. But life deals him a bum hand when he's suddenly faced with single fatherhood, a defunct career and having to move in with his father. To bounce back, it takes a new love and the courage instilled in him by his daughter.",2004-03-25T00:00:00Z
,Movies Solr2,3026,will smith,2294,Jay and Silent Bob Strike Back,1,"When Jay and Silent Bob learn that their comic-book alter egos, Bluntman and Chronic, have been sold to Hollywood as part of a big-screen movie that leaves them out of any royalties, the pair travels to Tinseltown to sabotage the production.",2001-08-24T00:00:00Z
,Movies Solr2,3026,will smith,8488,Hitch,3,"Dating coach Alex ""Hitch"" Hitchens (Will Smith) mentors a bumbling client, Albert (Kevin James), who hopes to win the heart of the glamorous Allegra Cole (Amber Valletta). While Albert makes progress, Hitchens faces his own romantic setbacks when proven techniques fail to work on Sara Melas (Eva Mendes), a tabloid reporter digging for dirt on Allegra Cole's love life. When Sara discovers Hitchens' connection to Albert -- now Allegra's boyfriend -- it threatens to destroy both relationships.",2005-02-10T00:00:00Z
,Movies Solr2,3026,will smith,10323,Clash of the Titans,1,"To win the right to marry his love, the beautiful princess Andromeda, and fulfil his destiny, Perseus must complete various tasks including taming Pegasus, capturing Medusa's head, and battling the Kraken monster.",1981-06-12T00:00:00Z
,Movies Solr2,3026,will smith,8489,Ali,4,"In 1964, a brash new pro boxer, fresh from his olympic gold medal victory, explodes on to the scene: Cassius Clay. Bold and outspoken, he cuts an entirely new image for African American's in sport with his proud public self confidence and his unapologetic belief that he is the greatest boxer of all time. Yet at the top of his game, both Ali's personal and professional lives face the ultimate test.",2001-12-11T00:00:00Z
,Movies Solr2,3026,will smith,109443,Anchorman 2: The Legend Continues,1,"With the 70s behind him, San Diego's top rated newsman, Ron Burgundy, returns to take New York's first 24-hour news channel by storm.",2013-12-18T00:00:00Z
,Movies Solr2,3026,will smith,6479,I Am Legend,4,"Robert Neville is a scientist who was unable to stop the spread of the terrible virus that was incurable and man-made. Immune, Neville is now the last human survivor in what is left of New York City and perhaps the world. For three years, Neville has faithfully sent out daily radio messages, desperate to find any other survivors who might be out there. But he is not alone.",2007-12-13T00:00:00Z
,Movies Solr2,3026,will smith,256591,Focus,3,"A veteran grifter takes a young, attractive woman under his wing, but things get complicated when they become romantically involved.",2015-02-27T00:00:00Z
,Movies Solr2,3026,star trek assassination conspiracy,193,Star Trek: Generations,2,Captain Jean-Luc Picard and the crew of the Enterprise-D find themselves at odds with the renegade scientist Soran who is destroying entire star systems. Only one man can help Picard stop Soran's scheme...and he's been dead for seventy-eight years.,1994-11-17T00:00:00Z
,Movies Solr2,3026,star trek assassination conspiracy,157,Star Trek III: The Search for Spock,2,Admiral Kirk and his bridge crew risk their careers stealing the decommissioned Enterprise to return to the restricted Genesis planet to recover Spock's body.,1984-05-31T00:00:00Z
,Movies Solr2,3026,star trek assassination conspiracy,152,Star Trek: The Motion Picture,2,"When a destructive space entity is spotted approaching Earth, Admiral Kirk resumes command of the Starship Enterprise in order to intercept, examine, and hopefully stop it.",1979-12-06T00:00:00Z
,Movies Solr2,3026,star trek assassination conspiracy,172,Star Trek V: The Final Frontier,2,Capt. Kirk and his crew must deal with Mr. Spock's half brother who kidnaps three diplomats and hijacks the Enterprise in his obsessive search for God.,1989-06-09T00:00:00Z
,Movies Solr2,3026,star trek assassination conspiracy,174,Star Trek VI: The Undiscovered Country,4,The crews of the Enterprise and the Excelsior must stop a plot to prevent a peace treaty between the Klingon Empire and the Federation,1991-12-05T00:00:00Z
,Movies Solr2,3026,star trek assassination conspiracy,200,Star Trek: Insurrection,3,"When an alien race and factions within Starfleet attempt to take over a planet that has ""regenerative"" properties, it falls upon Captain Picard and the crew of the Enterprise to defend the planet's people as well as the very ideals upon which the Federation itself was founded.",1998-12-10T00:00:00Z
,Movies Solr2,3026,star trek assassination conspiracy,13363,The Man from Earth,1,"An impromptu goodbye party for Professor John Oldman becomes a mysterious interrogation after the retiring scholar reveals to his colleagues he never ages and has walked the earth for 14,000 years.",2007-06-10T00:00:00Z
,Movies Solr2,3026,star trek assassination conspiracy,199,Star Trek: First Contact,2,"The Borg, a relentless race of cyborgs, are on a direct course for Earth. Violating orders to stay away from the battle, Captain Picard and the crew of the newly-commissioned USS Enterprise E pursue the Borg back in time to prevent the invaders from changing Federation history and assimilating the galaxy.",1996-11-21T00:00:00Z
,Movies Solr2,3026,star trek assassination conspiracy,154,Star Trek II: The Wrath of Khan,2,Admiral James T. Kirk is feeling old; the prospect of accompanying his old ship the Enterprise on a two week cadet cruise is not making him feel any younger. But the training cruise becomes a a life or death struggle when Khan escapes from years of exile and captures the power of creation itself.,1982-06-03T00:00:00Z
,Movies Solr2,3026,star trek assassination conspiracy,11323,The Informant!,1,"A rising star at agri-industry giant Archer Daniels Midland (ADM), Mark Whitacre suddenly turns whistleblower. Even as he exposes his company’s multi-national price-fixing conspiracy to the FBI, Whitacre envisions himself being hailed as a hero of the common man and handed a promotion.",2009-09-18T00:00:00Z
,Movies Solr2,3026,science fiction,686,Contact,4,"Contact is a science fiction film about an encounter with alien intelligence. Based on the novel by Carl Sagan the film starred Jodie Foster as the one chosen scientist who must make some difficult decisions between her beliefs, the truth, and reality.",1997-07-11T00:00:00Z
,Movies Solr2,3026,science fiction,828,The Day the Earth Stood Still,4,An alien and a robot land on earth after World War II and tell mankind to be peaceful or face destruction. A classic science fiction film from Robert Wise with an exceptional message.,1951-09-17T00:00:00Z
,Movies Solr2,3026,science fiction,437,Cube 2: Hypercube,2,The sequel to the low budget first film ‘Cube.’ This time the prisoners find them selves in a more advanced cube environment that they must escape from before they are killed. A science fiction film where space and time have more than one path.,2002-04-15T00:00:00Z
,Movies Solr2,3026,science fiction,782,Gattaca,4,"Science fiction drama about a future society in the era of indefinite eugenics where humans are set on a life course depending on their DNA. The young Vincent Freeman is born with a condition that would prevent him from space travel, yet he is determined to infiltrate the GATTACA space program.",1997-10-23T00:00:00Z
,Movies Solr2,3026,science fiction,1551,Flatliners,3,"Five medical students want to find out if there is life after death. They plan to stop one of their hearts for a few seconds, thus simulating death, and then bring the person back to life. A science fiction thriller from the early 1990's with a star studded cast.",1990-08-09T00:00:00Z
,Movies Solr2,3026,science fiction,601,E.T. the Extra-Terrestrial,3,A science fiction fairytale about an extra-terrestrial who is left behind on Earth and is found by a young boy who befriends him. This heart-warming fantasy from Director Steven Spielberg became one of the most commercially successful films of all time.,1982-06-11T00:00:00Z
,Movies Solr2,3026,science fiction,75,Mars Attacks!,3,"'We come in peace' is not what those green men from Mars mean when they invade our planet, armed with irresistible weapons and a cruel sense of humor.  This star studded cast must play victim to the alien’s fun and games in this comedy homage to science fiction films of the '50s and '60s.",1996-12-12T00:00:00Z
,Movies Solr2,3026,science fiction,152601,Her,3,"In the not so distant future, Theodore, a lonely writer purchases a newly developed operating system designed to meet the user's every needs. To Theordore's surprise, a romantic relationship develops between him and his operating system. This unconventional love story blends science fiction and romance in a sweet tale that explores the nature of love and the ways that technology isolates and connects us all.",2013-12-18T00:00:00Z
,Movies Solr2,3026,science fiction,145197,Upstream Color,2,"A man and woman are drawn together, entangled in the lifecycle of an ageless organism. Identity becomes an illusion as they struggle to assemble the loose fragments of wrecked lives.",2013-04-05T00:00:00Z
,Movies Solr2,3026,science fiction,174772,Europa Report,3,A crew of international astronauts are sent on a private mission to Jupiter's fourth moon.,2013-06-27T00:00:00Z
,Movies Solr2,3026,rocky,1374,Rocky IV,3,"Rocky must come out of retirement to battle a gargantuan Soviet fighter named Drago, who brutally punished Rocky's friend and former rival, Apollo Creed. Seeking revenge in the name of his fallen comrade and his country, Rocky agrees to fight Drago in Moscow on Christmas, and the bout changes both fighters -- and the world.",1985-11-21T00:00:00Z
,Movies Solr2,3026,rocky,1246,Rocky Balboa,3,"When he loses a highly publicized virtual boxing match to ex-champ Rocky Balboa, reigning heavyweight titleholder Mason Dixon retaliates by challenging the Itallian Stallion to a nationally televised, 10-round exhibition bout. To the surprise of his son and friends, Rocky agrees to come out of retirement and face an opponent who's faster, stronger and thirty years his junior.",2006-12-20T00:00:00Z
,Movies Solr2,3026,rocky,1367,Rocky II,3,"After Rocky goes the distance with champ Apollo Creed, both try to put the fight behind them and move on. Rocky settles down with Adrian but can't put his life together outside the ring, while Creed seeks a rematch to restore his reputation. Soon enough, the ""Master of Disaster"" and the ""Italian Stallion"" are set on a collision course for a climactic battle that is brutal and unforgettable.",1979-06-15T00:00:00Z
,Movies Solr2,3026,rocky,1375,Rocky V,3,"A lifetime of taking shots has ended Rocky's career, and a crooked accountant has left him broke. Inspired by the memory of his trainer, however, Rocky finds glory in training and takes on an up-and-coming boxer.",1990-11-16T00:00:00Z
,Movies Solr2,3026,rocky,1366,Rocky,4,"When world heavyweight boxing champ Apollo Creed wants to give an unknown fighter a shot at the title as a publicity stunt, his handlers pick palooka Rocky Balboa, an uneducated collector for a Philadelphia loan shark.",1976-11-21T00:00:00Z
,Movies Solr2,3026,rocky,7443,Chicken Run,2,"Having been hopelessly repressed and facing eventual certain death at the British chicken farm where they are held, Rocky the american rooster and Ginger the chicken decide to rebel against the evil Mr. and Mrs. Tweedy, the farm's owners. Rocky and Ginger lead their fellow chickens in a great escape from the murderous farmers and their farm of doom.",2000-06-30T00:00:00Z
,Movies Solr2,3026,rocky,1371,Rocky III,3,"Now the world champion, Rocky Balboa is living in luxury and only fighting opponents who pose no threat to him in the ring. His lifestyle of wealth and idleness is shaken when a powerful young fighter known as Clubber Lang challenges him to a bout. After taking a pounding from Lang, the humbled champ turns to former bitter rival Apollo Creed to help him regain his form for a rematch with Lang.",1982-05-28T00:00:00Z
,Movies Solr2,3026,rocky,9607,Super Mario Bros.,1,"Mario and Luigi, plumbers from Brooklyn, find themselves in an alternate universe where evolved dinosaurs live in hi-tech squalor. They're the only hope to save our universe from invasion by the dino dictator, Koopa.",1993-05-27T00:00:00Z
,Movies Solr2,3026,rocky,8963,Crimson Tide,1,"On a US nuclear missile sub, a young first officer stages a mutiny to prevent his trigger happy captain from launching his missiles before confirming his orders to do so.",1995-05-12T00:00:00Z
,Movies Solr2,3026,rocky,10048,Stealth,1,"Deeply ensconced in a top-secret military program, three pilots struggle to bring an artificial intelligence program under control ... before it initiates the next world war.",2005-07-28T00:00:00Z
,Movies Solr2,3026,hilarious classic,177888,Teen Beach Movie,1,"Cowabunga! Catch a perfect wave of fun in the sun, splashed with excitement, surprises and budding romance. Life's a beach for surfers Brady (Ross Lynch) and McKenzie (Maia Mitchell) – until a rogue wave magically transports them inside the classic '60s beach party flick, ""Wet Side Story,"" where a full-blown rivalry between bikers and surfers threatens to erupt. There, amidst a sea of surfing, singing and dancing, Brady and Mack accidentally change the storyline, and the film’s dreamy hero and heroine fall for them instead of for each other! Can our heroes get the plot back on track, or will they be trapped there forever? Overflowing with hilarious comedy and high-energy musical numbers, ""Teen Beach Movie"" makes it an endless summer all year long!",2013-07-19T00:00:00Z
,Movies Solr2,3026,hilarious classic,18480,Brüno,1,Flamboyantly gay Austrian television reporter Bruno (Sacha Baron Cohen) stirs up trouble with unsuspecting guests and large crowds through brutally frank interviews and painfully hilarious public displays of homosexuality.,2009-07-10T00:00:00Z
,Movies Solr2,3026,hilarious classic,200462,Hansel & Gretel,1,"In this modern retelling of the classic horror tale, teen siblings are enslaved by a psychotic recluse within her gruesome house of horrors in the woods.",2013-01-07T00:00:00Z
,Movies Solr2,3026,hilarious classic,16690,Return to Never Land,1,"The classic tale of 'Peter Pan' continues in Disney's sequel 'Return to Never Land'. In 1940 on a world besieged by World War II, Wendy, now grown up, has two children, one of them is her daughter, Jane.",2002-02-14T00:00:00Z
,Movies Solr2,3026,hilarious classic,624,Easy Rider,1,Easy Rider is the classic cult film from the 1960s. A road movie that embodies the feeling of being a hippie as two friends head cross-country to Mardi Gras. A controversial period film by Dennis Hopper and Peter Fonda with some classic music from a generation of wanderers.,1969-05-07T00:00:00Z
,Movies Solr2,3026,hilarious classic,947,Lawrence of Arabia,1,Lawrence of Arabia is the classic film from David Lean starring Peter O’Toole and based on the autobiography from Thomas Edward Lawrence who during the first World War was on assignment by the British Empire in Arabia. The film would become a cult classic and is known today as a masterpiece.,1962-12-10T00:00:00Z
,Movies Solr2,3026,hilarious classic,2062,Ratatouille,2,"In one of Paris' finest restaurants, Remy, a determined young rat, dreams of becoming a renowned French chef. Torn between his family's wishes and his true calling. Remy and his pal Linguini set in motion a hilarious chain of events that turns the City of Lights upside down.",2007-06-28T00:00:00Z
,Movies Solr2,3026,hilarious classic,79218,Ice Age: A Mammoth Christmas,1,"When Sid accidentally destroys Manny's heirloom Christmas rock and ends up on Santa's naughty list, he leads a hilarious quest to the North Pole to make things right and ends up making things much worse. Now it's up to Manny and his prehistoric posse to band together and save Christmas for the entire world!",2011-11-24T00:00:00Z
,Movies Solr2,3026,hilarious classic,175574,Free Birds,1,"In this irreverent, hilarious, adventurous buddy comedy for audiences of all ages, directed by Jimmy Hayward (Horton Hears a Who!), two turkeys from opposite sides of the tracks must put aside their differences and team up to travel back in time to change the course of history - and get turkey off the holiday menu for good.",2013-11-01T00:00:00Z
,Movies Solr2,3026,hilarious classic,10830,Matilda,3,"See the world from a kid's-eye view with Matilda, a modern fairytale that mixes hilarious humour with the magical message of love. Matilda is a super-smart little girl who's woefully misunderstood by her parents, her brother, and an evil school principal. But with the help of a brave best friend and a wonderful teacher, Matilda discovers she doesn't have to get mad to get even.",1996-07-28T00:00:00Z
,Movies Solr2,3026,cult classics,1729,The Forbidden Kingdom,1,"An American teenager who is obsessed with Hong Kong cinema and kung-fu classics makes an extraordinary discovery in a Chinatown pawnshop: the legendary stick weapon of the Chinese sage and warrior, the Monkey King. With the lost relic in hand, the teenager unexpectedly finds himself travelling back to ancient China to join a crew of warriors from martial arts lore on a dangerous quest to free the imprisoned Monkey King.",2008-04-18T00:00:00Z
,Movies Solr2,3026,cult classics,967,Spartacus,3,Spartacus is a 1960 American historical drama film directed by Stanley Kubrick and based on the novel of the same name by Howard Fast about the historical life of Spartacus and the Third Servile War. The film stars Kirk Douglas as the rebellious slave Spartacus who leads a violent revolt against the decadent Roman empire. The film was awarded four Oscars and stands today as one of the greatest classics of the Sword and Sandal genre.,1960-10-06T00:00:00Z
,Movies Solr2,3026,cult classics,901,City Lights,3,City Lights is the first silent film that Charlie Chaplin directed after he established himself with sound accompanied films. The film is about a penniless man who falls in love with a flower girl. The film was a great success and today is deemed a cult classic.,1931-01-30T00:00:00Z
,Movies Solr2,3026,cult classics,9874,Cobra,1,A tough-on-crime street cop must protect the only surviving witness to a strange murderous cult with far reaching plans.,1986-05-23T00:00:00Z
,Movies Solr2,3026,cult classics,1907,The Beach,2,"British director Danny Boyle, known for the cult movie Trainspotting, makes a movie out of the bestseller and debut novel The Beach by Alex Garland.",2000-02-11T00:00:00Z
,Movies Solr2,3026,cult classics,10136,The Golden Child,2,"A detective specializing in missing children is on a madcap mission to save a youth with mystical powers who's been abducted by an evil cult. He battles a band of super-nasties, scrambles through a booby-trapped chamber of horrors and traverses Tibet to obtain a sacred dagger.",1986-12-12T00:00:00Z
,Movies Solr2,3026,cult classics,431,Cube,3,The claustrophobic debut of Canadian director Vincenzo Natali takes seven strangers out of their daily lives and places them mysteriously in a deadly cube where they all agree they must find their way out. A mix of thriller and psychodrama and a small budget film that gained cult status.,1997-09-09T00:00:00Z
,Movies Solr2,3026,cult classics,47327,Drive Angry,1,"Milton is a hardened felon who has broken out of Hell, intent on finding the vicious cult who brutally murdered his daughter and kidnapped her baby. He joins forces with Piper, a sexy, tough-as-nails waitress with a 69 Charger, who's also seeking redemption of her own. Caught in a deadly race against time, Milton has three days to avoid capture, avenge his daughter's death, and save her baby before she's mercilessly sacrificed by the cult.",2011-02-24T00:00:00Z
,Movies Solr2,3026,cult classics,624,Easy Rider,4,Easy Rider is the classic cult film from the 1960s. A road movie that embodies the feeling of being a hippie as two friends head cross-country to Mardi Gras. A controversial period film by Dennis Hopper and Peter Fonda with some classic music from a generation of wanderers.,1969-05-07T00:00:00Z
,Movies Solr2,3026,cult classics,947,Lawrence of Arabia,4,Lawrence of Arabia is the classic film from David Lean starring Peter O’Toole and based on the autobiography from Thomas Edward Lawrence who during the first World War was on assignment by the British Empire in Arabia. The film would become a cult classic and is known today as a masterpiece.,1962-12-10T00:00:00Z
,Movies Solr2,3026,maximus,98,Gladiator,4,"Gladiator is an epic film of love, death and betrayal set in the Roman Empire. General Maximus' success in battle earns the favour of an elderly Emperor at the expense of the Emperor's son. In a fit of jealous rage the son slays his father before turning his anger towards Maximus. Now reduced to a slave, his family dead, Maximus must fight as a gladiator to gain his freedom, and his revenge.",2000-05-01T00:00:00Z
,Movies Solr2,3026,maximus,82881,Tangled Ever After,2,"The kingdom is in a festive mood as everyone gathers for the royal wedding of Rapunzel and Flynn. However, when Pascal and Maximus, as flower chameleon and ring bearer, respectively, lose the gold bands, a frenzied search and recovery mission gets underway. As the desperate duo tries to find the rings before anyone discovers that they’re missing, they leave behind a trail of comical chaos that includes flying lanterns, a flock of doves, a wine barrel barricade and a very sticky finale. Will Maximus and Pascal save the day and make it to the church in time? And will they ever get Flynn’s nose right?",2012-01-13T00:00:00Z
,Movies Solr2,3026,spaceballs,957,Spaceballs,4,"When the nefarious Dark Helmet hatches a plan to snatch Princess Vespa and steal her planet's air, space-bum-for-hire Lone Starr and his clueless sidekick fly to the rescue. Along the way, they meet Yogurt, who puts Lone Starr wise to the power of ""The Schwartz."" Can he master it in time to save the day?",1987-06-24T00:00:00Z
,Movies Solr2,3026,rom com,1642,The Net,1,"Angela Bennett is a freelance software engineer who lives in a world of computer technology. When a cyber friend asks Bennett to debug a CD-ROM game, she discovers a conspiracy that will turn her life upside down. Soon, her records have been erased, and she's been given a new identity and a police record. Her vacation is ruined as she struggles to determine why she's been deleted from society.",1995-07-28T00:00:00Z
,Movies Solr2,3026,racing snail,77950,Turbo,4,The tale of an ordinary garden snail who dreams of winning the Indy 500.,2013-07-19T00:00:00Z
,Movies Solr2,3026,racing snail,7459,Speed Racer,2,"Speed racer is the tale of a young and brilliant racing driver. When corruption in the racing leagues costs his brother his life, he must team up with the police and the mysterious Racer X to bring and end to the corruption and criminal activities. Inspired by the cartoon series.",2008-05-09T00:00:00Z
,Movies Solr2,3026,racing snail,14164,Dragonball Evolution,1,"The young warrior Son Goku sets out on a quest, racing against time and the vengeful King Piccolo, to collect a set of seven magical orbs that will grant their wielder unlimited power.",2009-04-01T00:00:00Z
,Movies Solr2,3026,racing snail,9615,The Fast and the Furious: Tokyo Drift,2,"In order to avoid a jail sentence, Sean Boswell heads to Tokyo to live with his military father. In a low-rent section of the city, Shaun gets caught up in the underground world of drift racing",2006-06-03T00:00:00Z
,Movies Solr2,3026,racing snail,75674,Act of Valor,1,"Go ""down range"" with real, active duty Navy SEALs in this adrenaline-fueled action-adventure that inserts you into the heart of the battle, alongside America's best and bravest. When a covert mission to rescue a kidnapped CIA operative uncovers a chilling plot, an elite, highly trained U.S. SEAL team speeds to hotspots around the globe, racing against the clock to stop a deadly terrorist attack.",2012-02-24T00:00:00Z
,Movies Solr2,3026,racing snail,56292,Mission: Impossible - Ghost Protocol,1,"In the 4th installment of the Mission Impossible series, Ethan Hunt (Cruise) and his team are racing against time to track down a dangerous terrorist named Hendricks (Nyqvist), who has gained access to Russian nuclear launch codes and is planning a strike on the United States. An attempt to stop him ends in an explosion causing severe destruction to the Kremlin and the IMF to be implicated in the bombing, forcing the President to disavow them. No longer being aided by the government, Ethan and his team chase Hendricks around the globe, although they might still be too late to stop a disaster.",2011-12-21T00:00:00Z
,Movies Solr2,3026,racing snail,82690,Wreck-It Ralph,1,"Wreck-It Ralph is the 9-foot-tall, 643-pound villain of an arcade video game named Fix-It Felix Jr., in which the game's titular hero fixes buildings that Ralph destroys. Wanting to prove he can be a good guy and not just a villain, Ralph escapes his game and lands in Hero's Duty, a first-person shooter where he helps the game's hero battle against alien invaders. He later enters Sugar Rush, a kart racing game set on tracks made of candies, cookies and other sweets. There, Ralph meets Vanellope von Schweetz who has learned that her game is faced with a dire threat that could affect the entire arcade, and one that Ralph may have inadvertently started.",2012-11-01T00:00:00Z
